Protein.Group	Protein.Names	Genes	First.Protein.Description	D:\LZW\Guomics\MS-BERT\Benchmark\fdrs_DIANN19\mzML_new\GUI\HYC\MP-LFC-MS1var-OT-S1-120kMS1_MHRM_R01.mzML	D:\LZW\Guomics\MS-BERT\Benchmark\fdrs_DIANN19\mzML_new\GUI\HYC\MP-LFC-MS1var-OT-S1-120kMS1_MHRM_R02.mzML	D:\LZW\Guomics\MS-BERT\Benchmark\fdrs_DIANN19\mzML_new\GUI\HYC\MP-LFC-MS1var-OT-S1-120kMS1_MHRM_R03.mzML	D:\LZW\Guomics\MS-BERT\Benchmark\fdrs_DIANN19\mzML_new\GUI\HYC\MP-LFC-MS1var-OT-S2-120kMS1_MHRM_R01.mzML	D:\LZW\Guomics\MS-BERT\Benchmark\fdrs_DIANN19\mzML_new\GUI\HYC\MP-LFC-MS1var-OT-S2-120kMS1_MHRM_R02.mzML	D:\LZW\Guomics\MS-BERT\Benchmark\fdrs_DIANN19\mzML_new\GUI\HYC\MP-LFC-MS1var-OT-S2-120kMS1_MHRM_R03.mzML
Q13283	G3BP1_HUMAN	G3BP1	Ras GTPase-activating protein-binding protein 1	7.14175e+07	6.76719e+07	6.84619e+07	6.70772e+07	6.64739e+07	6.80741e+07
Q13286	CLN3_HUMAN	CLN3	Battenin	975604	944997	902327	906088	980805	1.01567e+06
Q13287	NMI_HUMAN	NMI	N-myc-interactor	1.3471e+06	1.38895e+06	1.04019e+06	1.37232e+06	878540	1.31758e+06
Q13303	KCAB2_HUMAN	KCNAB2	Voltage-gated potassium channel subunit beta-2	1.17737e+06	1.25018e+06	1.37128e+06	1.18728e+06	1.29095e+06	1.28013e+06
Q13309	SKP2_HUMAN	SKP2	S-phase kinase-associated protein 2	1.79645e+06	1.66027e+06	1.50016e+06	1.71121e+06	1.75117e+06	1.85666e+06
Q13310	PABP4_HUMAN	PABPC4	Polyadenylate-binding protein 4	3.71259e+07	3.87061e+07	3.72199e+07	3.57019e+07	3.77292e+07	3.58395e+07
Q13315	ATM_HUMAN	ATM	Serine-protein kinase ATM	290225	336724	330778	318200	274522	283011
Q13322	GRB10_HUMAN	GRB10	Growth factor receptor-bound protein 10	2.08152e+06	2.15017e+06	2.01755e+06	1.86035e+06	1.83739e+06	1.90115e+06
Q13330	MTA1_HUMAN	MTA1	Metastasis-associated protein MTA1	1.58827e+07	1.6258e+07	1.81416e+07	1.65315e+07	1.6249e+07	1.65091e+07
Q13347	EIF3I_HUMAN	EIF3I	Eukaryotic translation initiation factor 3 subunit I	3.76868e+07	3.5718e+07	3.52663e+07	3.61377e+07	3.57428e+07	3.63518e+07
Q13356	PPIL2_HUMAN	PPIL2	RING-type E3 ubiquitin-protein ligase PPIL2			241836	399300	252570	314094
Q13362	2A5G_HUMAN	PPP2R5C	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit gamma isoform	4.16931e+06	4.33529e+06	4.62609e+06	4.24502e+06	4.40545e+06	4.5273e+06
Q13363	CTBP1_HUMAN	CTBP1	C-terminal-binding protein 1	1.15112e+07	1.16952e+07	1.27254e+07	1.26481e+07	1.2818e+07	1.2291e+07
Q13371	PHLP_HUMAN	PDCL	Phosducin-like protein	333030	217860	263956	294325	249440	272006
Q13395	TARB1_HUMAN	TARBP1	Probable methyltransferase TARBP1	640535	565220	535200	498405	529767	577137
Q13404	UB2V1_HUMAN	UBE2V1	Ubiquitin-conjugating enzyme E2 variant 1	4.56198e+07	4.28904e+07	4.43177e+07	4.15592e+07	4.07413e+07	4.37875e+07
Q13405	RM49_HUMAN	MRPL49	39S ribosomal protein L49, mitochondrial	9.95437e+06	9.56274e+06	1.02928e+07	9.25058e+06	9.2189e+06	9.55181e+06
Q13409	DC1I2_HUMAN	DYNC1I2	Cytoplasmic dynein 1 intermediate chain 2	7.57026e+06	7.19376e+06	7.21104e+06	7.36469e+06	7.67429e+06	7.23453e+06
Q13415	ORC1_HUMAN	ORC1	Origin recognition complex subunit 1	364286	671108	637237	862560		
Q13416	ORC2_HUMAN	ORC2	Origin recognition complex subunit 2	2.08336e+06	2.25783e+06	2.27098e+06	1.91185e+06	2.4815e+06	2.30833e+06
Q13418	ILK_HUMAN	ILK	Integrin-linked protein kinase	2.80529e+06	2.76315e+06	2.6821e+06	2.50512e+06	2.74053e+06	2.73367e+06
Q13421	MSLN_HUMAN	MSLN	Mesothelin		197705	164680	295689	245055	344551
Q13423	NNTM_HUMAN	NNT	NAD(P) transhydrogenase, mitochondrial	1.73069e+07	1.70492e+07	1.80703e+07	1.63753e+07	1.70067e+07	1.7069e+07
Q13425	SNTB2_HUMAN	SNTB2	Beta-2-syntrophin	2.25654e+06	2.25721e+06	2.59865e+06	2.52915e+06	2.34964e+06	2.26412e+06
Q13426	XRCC4_HUMAN	XRCC4	DNA repair protein XRCC4	2.06502e+06	2.22386e+06	1.83078e+06	2.12567e+06	1.89232e+06	1.8469e+06
Q13427	PPIG_HUMAN	PPIG	Peptidyl-prolyl cis-trans isomerase G	6.49243e+06	5.77987e+06	5.67667e+06	5.76982e+06	5.41527e+06	5.30465e+06
Q13428	TCOF_HUMAN	TCOF1	Treacle protein	2.00548e+07	2.25066e+07	2.25613e+07	2.11709e+07	2.09593e+07	2.09829e+07
Q13433	S39A6_HUMAN	SLC39A6	Zinc transporter ZIP6	3.56663e+06	3.3755e+06	2.73578e+06	2.73783e+06	3.24132e+06	3.09607e+06
Q13435	SF3B2_HUMAN	SF3B2	Splicing factor 3B subunit 2	4.37798e+07	4.41255e+07	4.45629e+07	4.17737e+07	4.26811e+07	4.24429e+07
Q13438	OS9_HUMAN	OS9	Protein OS-9	1.60442e+06	2.14085e+06	2.29515e+06	1.88772e+06	1.60385e+06	1.3807e+06
Q13439	GOGA4_HUMAN	GOLGA4	Golgin subfamily A member 4	591682	566666	389799	482658	491557	
Q13442	HAP28_HUMAN	PDAP1	28 kDa heat- and acid-stable phosphoprotein	1.88946e+07	1.88155e+07	1.86662e+07	1.78758e+07	1.83458e+07	1.86533e+07
Q13443	ADAM9_HUMAN	ADAM9	Disintegrin and metalloproteinase domain-containing protein 9	2.47239e+06	2.44184e+06	2.32643e+06	2.45509e+06	2.47264e+06	2.42057e+06
Q13445	TMED1_HUMAN	TMED1	Transmembrane emp24 domain-containing protein 1	3.91815e+06	4.23395e+06	3.92555e+06	3.86336e+06	4.0586e+06	4.19176e+06
Q13451	FKBP5_HUMAN	FKBP5	Peptidyl-prolyl cis-trans isomerase FKBP5	8.49273e+06	7.90478e+06	8.04486e+06	7.95964e+06	7.98466e+06	7.73247e+06
Q13459	MYO9B_HUMAN	MYO9B	Unconventional myosin-IXb	787684	490809	387178	671660		373215
Q13464	ROCK1_HUMAN	ROCK1	Rho-associated protein kinase 1	1.51878e+06	1.47914e+06	1.54528e+06	1.43836e+06	1.43021e+06	1.79419e+06
Q13472	TOP3A_HUMAN	TOP3A	DNA topoisomerase 3-alpha	1.60778e+06	1.65288e+06	1.63495e+06	1.60715e+06	1.48193e+06	1.5822e+06
Q13485	SMAD4_HUMAN	SMAD4	Mothers against decapentaplegic homolog 4	3.0244e+06	3.1784e+06	3.44658e+06	3.20153e+06	3.25169e+06	2.95937e+06
Q13488	VPP3_HUMAN	TCIRG1	V-type proton ATPase 116 kDa subunit a3	842457	840820	649950	688872	823340	929103
Q13492	PICAL_HUMAN	PICALM	Phosphatidylinositol-binding clathrin assembly protein	1.37833e+07	1.34696e+07	1.33995e+07	1.29904e+07	1.32916e+07	1.29427e+07
Q13501	SQSTM_HUMAN	SQSTM1	Sequestosome-1	6.13451e+06	6.39881e+06	6.42077e+06	5.9985e+06	6.14099e+06	6.78361e+06
Q13503	MED21_HUMAN	MED21	Mediator of RNA polymerase II transcription subunit 21	580539	559635	650130	643450	665052	649178
Q13505	MTX1_HUMAN	MTX1	Metaxin-1	3.31111e+06	2.99047e+06	3.1733e+06	2.79303e+06	2.70915e+06	2.70685e+06
Q13509	TBB3_HUMAN	TUBB3	Tubulin beta-3 chain	1.92878e+08	1.95212e+08	1.83838e+08	1.87181e+08	1.86431e+08	1.72278e+08
Q13523	PRP4B_HUMAN	PRPF4B	Serine/threonine-protein kinase PRP4 homolog	1.27575e+07	1.3155e+07	1.21075e+07	1.25963e+07	1.26528e+07	1.17445e+07
Q13526	PIN1_HUMAN	PIN1	Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1	6.67235e+06	6.17628e+06	5.84755e+06	6.64037e+06	5.96598e+06	6.59829e+06
Q13535	ATR_HUMAN	ATR	Serine/threonine-protein kinase ATR	1.36001e+06	850491		913007	1.0255e+06	1.21974e+06
Q13541	4EBP1_HUMAN	EIF4EBP1	Eukaryotic translation initiation factor 4E-binding protein 1	3.24894e+06	3.01914e+06	2.57748e+06	2.94049e+06	2.85335e+06	2.99397e+06
Q13546	RIPK1_HUMAN	RIPK1	Receptor-interacting serine/threonine-protein kinase 1	843034	747384	948088	594643	905849	685738
Q13547	HDAC1_HUMAN	HDAC1	Histone deacetylase 1	1.6424e+07	1.66591e+07	1.55348e+07	1.57794e+07	1.60399e+07	1.4457e+07
Q13554	KCC2B_HUMAN	CAMK2B	Calcium/calmodulin-dependent protein kinase type II subunit beta	6.6062e+06	7.00379e+06	6.52876e+06	6.98195e+06	7.94443e+06	6.62257e+06
Q13555	KCC2G_HUMAN	CAMK2G	Calcium/calmodulin-dependent protein kinase type II subunit gamma	1.96183e+06	1.66456e+06	1.9172e+06	1.82694e+06	1.88376e+06	1.65928e+06
Q13557	KCC2D_HUMAN	CAMK2D	Calcium/calmodulin-dependent protein kinase type II subunit delta					287806	
Q13561	DCTN2_HUMAN	DCTN2	Dynactin subunit 2	1.15573e+07	1.17798e+07	1.18162e+07	1.11531e+07	1.13624e+07	1.10469e+07
Q13564	ULA1_HUMAN	NAE1	NEDD8-activating enzyme E1 regulatory subunit	9.89133e+06	9.64373e+06	1.04409e+07	9.25117e+06	9.00018e+06	8.85664e+06
Q13572	ITPK1_HUMAN	ITPK1	Inositol-tetrakisphosphate 1-kinase	4.77206e+06	3.86663e+06	3.68189e+06	3.79353e+06	4.29472e+06	3.97278e+06
Q13573	SNW1_HUMAN	SNW1	SNW domain-containing protein 1	1.15885e+07	1.14542e+07	1.11892e+07	1.10575e+07	1.07362e+07	1.05571e+07
Q13576	IQGA2_HUMAN	IQGAP2	Ras GTPase-activating-like protein IQGAP2	2.41948e+07	2.42797e+07	2.31832e+07	2.37499e+07	2.41336e+07	2.19186e+07
Q13586	STIM1_HUMAN	STIM1	Stromal interaction molecule 1	1.41374e+06	1.51666e+06	1.45175e+06	1.41194e+06	1.35538e+06	1.26416e+06
Q13595	TRA2A_HUMAN	TRA2A	Transformer-2 protein homolog alpha	1.54641e+07	1.51841e+07	1.49224e+07	1.49649e+07	1.54682e+07	1.49503e+07
Q13596	SNX1_HUMAN	SNX1	Sorting nexin-1	2.04063e+07	2.01831e+07	1.96222e+07	2.00533e+07	1.9239e+07	1.93402e+07
Q13601	KRR1_HUMAN	KRR1	KRR1 small subunit processome component homolog	1.22622e+07	1.13374e+07	1.10456e+07	1.12258e+07	1.10549e+07	1.10782e+07
Q13610	PWP1_HUMAN	PWP1	Periodic tryptophan protein 1 homolog	1.63528e+07	1.61767e+07	1.6573e+07	1.57387e+07	1.69984e+07	1.63502e+07
Q13613	MTMR1_HUMAN	MTMR1	Myotubularin-related protein 1	394248	465284		276119	447590	
Q13614	MTMR2_HUMAN	MTMR2	Myotubularin-related protein 2	171122		271095	287734		
Q13616	CUL1_HUMAN	CUL1	Cullin-1	7.79101e+06	8.27842e+06	7.92538e+06	7.62638e+06	7.85658e+06	8.36977e+06
Q13617	CUL2_HUMAN	CUL2	Cullin-2	3.27424e+06	3.1237e+06	2.94299e+06	3.20336e+06	3.18308e+06	3.05012e+06
Q13618	CUL3_HUMAN	CUL3	Cullin-3	3.274e+06	3.05861e+06	2.96778e+06	3.03555e+06	3.03448e+06	3.11317e+06
Q13619	CUL4A_HUMAN	CUL4A	Cullin-4A	1.21056e+07	1.21752e+07	1.22408e+07	1.22196e+07	1.16638e+07	1.16113e+07
Q13620	CUL4B_HUMAN	CUL4B	Cullin-4B	2.21447e+07	2.16735e+07	2.20384e+07	2.1943e+07	2.16345e+07	2.15082e+07
Q13625	ASPP2_HUMAN	TP53BP2	Apoptosis-stimulating of p53 protein 2	576254	477063	440351	442329	444297	486119
Q13627	DYR1A_HUMAN	DYRK1A	Dual specificity tyrosine-phosphorylation-regulated kinase 1A	2.58433e+06	2.06976e+06	1.46448e+06	2.73578e+06	3.05894e+06	1.5954e+06
Q13630	FCL_HUMAN	TSTA3	GDP-L-fucose synthase	1.36729e+07	1.28126e+07	1.46145e+07	1.37949e+07	1.3325e+07	1.36855e+07
Q13636	RAB31_HUMAN	RAB31	Ras-related protein Rab-31	4.51093e+06	4.18019e+06	3.97107e+06	3.89706e+06	4.22725e+06	4.23905e+06
Q13637	RAB32_HUMAN	RAB32	Ras-related protein Rab-32	2.35091e+06	2.68896e+06		2.59505e+06	2.15496e+06	2.65092e+06
Q13641	TPBG_HUMAN	TPBG	Trophoblast glycoprotein	2.39093e+06	2.58412e+06	2.86425e+06	2.34541e+06	2.30713e+06	2.56073e+06
Q13642	FHL1_HUMAN	FHL1	Four and a half LIM domains protein 1	9.06085e+06	8.57661e+06	8.03565e+06	8.50534e+06	8.29117e+06	8.17701e+06
Q13643	FHL3_HUMAN	FHL3	Four and a half LIM domains protein 3	5.85222e+06	6.38844e+06	6.47961e+06	5.98901e+06	6.61992e+06	6.49092e+06
Q13671	RIN1_HUMAN	RIN1	Ras and Rab interactor 1	1.30477e+06	1.71462e+06	1.53022e+06	1.41542e+06	1.55513e+06	1.49942e+06
Q13685	AAMP_HUMAN	AAMP	Angio-associated migratory cell protein	5.01265e+06	4.92135e+06	4.63209e+06	4.99292e+06	4.84499e+06	4.90424e+06
Q13686	ALKB1_HUMAN	ALKBH1	Nucleic acid dioxygenase ALKBH1						631932
Q13724	MOGS_HUMAN	MOGS	Mannosyl-oligosaccharide glucosidase	4.75237e+06	4.95533e+06	4.71909e+06	4.66529e+06	5.15696e+06	4.90163e+06
Q13740	CD166_HUMAN	ALCAM	CD166 antigen	4.66774e+06	4.69906e+06	4.72418e+06	4.65042e+06	4.78953e+06	4.74329e+06
Q13769	THOC5_HUMAN	THOC5	THO complex subunit 5 homolog	3.24066e+06	3.15273e+06	2.92772e+06	3.35356e+06	3.04823e+06	2.88225e+06
Q13813	SPTN1_HUMAN	SPTAN1	Spectrin alpha chain, non-erythrocytic 1	2.73268e+07	2.77133e+07	2.77912e+07	2.65027e+07	2.71693e+07	2.69926e+07
Q13823	NOG2_HUMAN	GNL2	Nucleolar GTP-binding protein 2	4.84522e+06	5.22974e+06	4.80693e+06	5.11576e+06	5.22073e+06	5.26681e+06
Q13825	AUHM_HUMAN	AUH	Methylglutaconyl-CoA hydratase, mitochondrial	1.00035e+06	965712	741893	1.04336e+06	906888	1.09259e+06
Q13838	DX39B_HUMAN	DDX39B	Spliceosome RNA helicase DDX39B	1.23243e+08	1.2482e+08	1.18924e+08	1.22553e+08	1.24774e+08	1.25066e+08
Q13867	BLMH_HUMAN	BLMH	Bleomycin hydrolase	1.62378e+07	1.63497e+07	1.5185e+07	1.60865e+07	1.56651e+07	1.4962e+07
Q13868	EXOS2_HUMAN	EXOSC2	Exosome complex component RRP4	9.12401e+06	8.86668e+06	9.16664e+06	8.24644e+06	8.65528e+06	8.74189e+06
Q13885	TBB2A_HUMAN	TUBB2A	Tubulin beta-2A chain	2.98004e+06	2.94817e+06	2.61073e+06	3.22275e+06	3.19777e+06	2.65074e+06
Q13887	KLF5_HUMAN	KLF5	Krueppel-like factor 5	4.50455e+06	4.30867e+06	4.15607e+06	4.31571e+06	4.70004e+06	3.98673e+06
Q13888;Q6P1K8	T2H2L_HUMAN;TF2H2_HUMAN	GTF2H2;GTF2H2C	General transcription factor IIH subunit 2	1.54038e+06	1.70926e+06	2.05978e+06	1.76968e+06	1.79317e+06	2.00391e+06
Q13895	BYST_HUMAN	BYSL	Bystin	1.29761e+07	1.28996e+07	1.28364e+07	1.30669e+07	1.25774e+07	1.24104e+07
Q13901	C1D_HUMAN	C1D	Nuclear nucleic acid-binding protein C1D	3.2916e+06	2.65569e+06	3.44631e+06	3.24295e+06	3.19259e+06	3.27783e+06
Q13907	IDI1_HUMAN	IDI1	Isopentenyl-diphosphate Delta-isomerase 1	5.66361e+06	5.65806e+06	6.53242e+06	5.35078e+06	5.71324e+06	5.97975e+06
Q13951	PEBB_HUMAN	CBFB	Core-binding factor subunit beta	1.20568e+07	1.11264e+07	1.13536e+07	1.1349e+07	1.05886e+07	1.11194e+07
Q13952	NFYC_HUMAN	NFYC	Nuclear transcription factor Y subunit gamma	6.99958e+06	6.57973e+06	5.73721e+06	6.5818e+06	6.58164e+06	6.59939e+06
Q14004	CDK13_HUMAN	CDK13	Cyclin-dependent kinase 13	579496	465832	327149	578987	555587	579712
Q14008	CKAP5_HUMAN	CKAP5	Cytoskeleton-associated protein 5	2.38609e+07	2.45503e+07	2.44739e+07	2.3798e+07	2.4339e+07	2.28723e+07
Q14011	CIRBP_HUMAN	CIRBP	Cold-inducible RNA-binding protein	1.46228e+07	1.42993e+07	1.31079e+07	1.32885e+07	1.29167e+07	1.19943e+07
Q14019	COTL1_HUMAN	COTL1	Coactosin-like protein	3.95947e+07	4.13824e+07	3.86902e+07	3.87518e+07	4.02782e+07	3.74003e+07
Q14031	CO4A6_HUMAN	COL4A6	Collagen alpha-6(IV) chain	992243		597910	1.03516e+06	1.09383e+06	975816
Q14061	COX17_HUMAN	COX17	Cytochrome c oxidase copper chaperone	7.91519e+06	8.43778e+06	8.46695e+06	8.04085e+06	7.46695e+06	7.07094e+06
Q14103	HNRPD_HUMAN	HNRNPD	Heterogeneous nuclear ribonucleoprotein D0	1.64243e+08	1.75963e+08	1.79618e+08	1.60952e+08	1.69589e+08	1.79999e+08
Q14108	SCRB2_HUMAN	SCARB2	Lysosome membrane protein 2	7.54193e+06	7.16732e+06	7.58803e+06	7.71865e+06	7.0553e+06	7.1429e+06
Q14114	LRP8_HUMAN	LRP8	Low-density lipoprotein receptor-related protein 8	1.30316e+06	1.21364e+06	1.42638e+06	1.36449e+06	1.7024e+06	1.0936e+06
Q14116	IL18_HUMAN	IL18	Interleukin-18	2.26007e+07	2.38225e+07	2.28574e+07	2.25355e+07	2.42668e+07	2.27549e+07
Q14118	DAG1_HUMAN	DAG1	Dystroglycan	3.38646e+06	4.40523e+06	5.12625e+06	4.41782e+06	4.77351e+06	4.78911e+06
Q14119	VEZF1_HUMAN	VEZF1	Vascular endothelial zinc finger 1	894056	529480	686835	632698		
Q14126	DSG2_HUMAN	DSG2	Desmoglein-2	8.93866e+06	8.02999e+06	8.30678e+06	8.56909e+06	8.45165e+06	8.53636e+06
Q14134	TRI29_HUMAN	TRIM29	Tripartite motif-containing protein 29	1.67741e+07	1.50742e+07	1.52089e+07	1.57778e+07	1.5727e+07	1.54268e+07
Q14137	BOP1_HUMAN	BOP1	Ribosome biogenesis protein BOP1	1.04533e+07	1.06316e+07	1.02116e+07	9.82412e+06	1.00575e+07	1.0086e+07
Q14139	UBE4A_HUMAN	UBE4A	Ubiquitin conjugation factor E4 A	3.14243e+06	2.7945e+06	2.77406e+06	2.90313e+06	2.69126e+06	2.49001e+06
Q14141	SEPT6_HUMAN	SEPTIN6	Septin-6	7.43845e+06	6.93586e+06	8.01533e+06	7.33117e+06	7.46575e+06	7.53316e+06
Q14146	URB2_HUMAN	URB2	Unhealthy ribosome biogenesis protein 2 homolog	1.96995e+06	1.91023e+06	1.87195e+06	1.79237e+06	1.79708e+06	1.80068e+06
Q14147	DHX34_HUMAN	DHX34	Probable ATP-dependent RNA helicase DHX34	596362	563632	828676	671429	486905	578043
Q14149	MORC3_HUMAN	MORC3	MORC family CW-type zinc finger protein 3	435832	362588	271519	440873	351598	363145
Q14151	SAFB2_HUMAN	SAFB2	Scaffold attachment factor B2	2.49367e+07	2.47937e+07	2.49002e+07	2.36318e+07	2.37137e+07	2.49746e+07
Q14152	EIF3A_HUMAN	EIF3A	Eukaryotic translation initiation factor 3 subunit A	2.59053e+07	2.51536e+07	2.49736e+07	2.51762e+07	2.46517e+07	2.43722e+07
Q14155	ARHG7_HUMAN	ARHGEF7	Rho guanine nucleotide exchange factor 7	3.47895e+06	3.1153e+06	3.0241e+06	2.9957e+06	2.93456e+06	2.76923e+06
Q14156	EFR3A_HUMAN	EFR3A	Protein EFR3 homolog A	923707	2.0297e+06	1.34353e+06	1.01573e+06	1.90798e+06	971862
Q14157	UBP2L_HUMAN	UBAP2L	Ubiquitin-associated protein 2-like	1.47583e+07	1.46822e+07	1.44124e+07	1.39047e+07	1.42786e+07	1.39277e+07
Q14160	SCRIB_HUMAN	SCRIB	Protein scribble homolog	4.70178e+06	4.82445e+06	4.35669e+06	4.93314e+06	4.82319e+06	4.93668e+06
Q14161	GIT2_HUMAN	GIT2	ARF GTPase-activating protein GIT2	2.49243e+06	2.70037e+06	2.51009e+06	2.7486e+06	2.74732e+06	2.40203e+06
Q14165	MLEC_HUMAN	MLEC	Malectin	9.47558e+06	9.16603e+06	8.99925e+06	8.84917e+06	8.70901e+06	8.62065e+06
Q14166	TTL12_HUMAN	TTLL12	Tubulin--tyrosine ligase-like protein 12	9.1255e+06	9.83175e+06	9.34304e+06	9.19595e+06	9.24615e+06	9.0185e+06
Q14181	DPOA2_HUMAN	POLA2	DNA polymerase alpha subunit B	4.80998e+06	4.48602e+06	4.64843e+06	4.62499e+06	5.09098e+06	4.53251e+06
Q14185	DOCK1_HUMAN	DOCK1	Dedicator of cytokinesis protein 1	2.03646e+06	2.06497e+06	2.12011e+06	2.22557e+06	2.2667e+06	1.49244e+06
Q14186	TFDP1_HUMAN	TFDP1	Transcription factor Dp-1	1.16792e+06	1.19563e+06	968796	658666	1.49768e+06	983209
Q14191	WRN_HUMAN	WRN	Werner syndrome ATP-dependent helicase	507065	608389	612489	562030	596312	624665
Q14192	FHL2_HUMAN	FHL2	Four and a half LIM domains protein 2	3.79213e+06	3.85467e+06	3.80695e+06	3.72834e+06	3.83038e+06	3.98394e+06
Q14195	DPYL3_HUMAN	DPYSL3	Dihydropyrimidinase-related protein 3	1.56616e+07	1.28747e+07	1.22812e+07	1.56871e+07	1.42347e+07	1.28781e+07
Q14197	ICT1_HUMAN	MRPL58	Peptidyl-tRNA hydrolase ICT1, mitochondrial	8.02379e+06	8.11685e+06	7.74469e+06	8.53579e+06	8.4248e+06	8.06956e+06
Q14202	ZMYM3_HUMAN	ZMYM3	Zinc finger MYM-type protein 3	1.90288e+06	2.17087e+06	2.0385e+06	1.81292e+06	1.92456e+06	1.94432e+06
Q14203	DCTN1_HUMAN	DCTN1	Dynactin subunit 1	4.75422e+06	4.47966e+06	4.60327e+06	4.38195e+06	4.46534e+06	4.33603e+06
Q14204	DYHC1_HUMAN	DYNC1H1	Cytoplasmic dynein 1 heavy chain 1	1.98615e+07	1.98339e+07	1.93937e+07	1.93258e+07	1.92795e+07	1.89491e+07
Q14232	EI2BA_HUMAN	EIF2B1	Translation initiation factor eIF-2B subunit alpha	8.78697e+06	8.75685e+06	8.8379e+06	7.54174e+06	8.05732e+06	7.36976e+06
Q14240	IF4A2_HUMAN	EIF4A2	Eukaryotic initiation factor 4A-II	1.67983e+07	1.50844e+07	1.54242e+07	1.52785e+07	1.49358e+07	1.52015e+07
Q14241	ELOA1_HUMAN	ELOA	Elongin-A	4.82131e+06	4.5274e+06	5.04153e+06	4.32586e+06	4.5019e+06	4.32493e+06
Q14244	MAP7_HUMAN	MAP7	Ensconsin	2.15742e+07	2.33206e+07	2.3038e+07	2.15002e+07	2.2844e+07	2.30824e+07
Q14247	SRC8_HUMAN	CTTN	Src substrate cortactin	4.39646e+07	4.40777e+07	4.4508e+07	4.12449e+07	4.23015e+07	4.14351e+07
Q14254	FLOT2_HUMAN	FLOT2	Flotillin-2	1.12451e+07	1.11988e+07	1.11103e+07	1.09586e+07	1.12114e+07	1.1473e+07
Q14257	RCN2_HUMAN	RCN2	Reticulocalbin-2	4.03614e+06	4.4141e+06	3.72382e+06	4.25727e+06	4.22964e+06	4.24539e+06
Q14258	TRI25_HUMAN	TRIM25	E3 ubiquitin/ISG15 ligase TRIM25	3.58926e+07	3.43247e+07	3.60927e+07	3.6246e+07	3.49916e+07	3.51275e+07
Q14318	FKBP8_HUMAN	FKBP8	Peptidyl-prolyl cis-trans isomerase FKBP8	6.7435e+06	6.33889e+06	6.49998e+06	6.0264e+06	5.99699e+06	6.33723e+06
Q14320	FA50A_HUMAN	FAM50A	Protein FAM50A	1.06954e+07	1.10013e+07	1.11154e+07	1.08076e+07	1.11551e+07	1.01573e+07
Q14331	FRG1_HUMAN	FRG1	Protein FRG1	7.10723e+06	6.72288e+06	6.59902e+06	6.38126e+06	6.76881e+06	6.84034e+06
Q14344	GNA13_HUMAN	GNA13	Guanine nucleotide-binding protein subunit alpha-13	2.55872e+06	2.81061e+06	2.87556e+06	2.36406e+06	2.6416e+06	2.51261e+06
Q14376	GALE_HUMAN	GALE	UDP-glucose 4-epimerase	1.69899e+07	1.76657e+07	1.62888e+07	1.67551e+07	1.66338e+07	1.65521e+07
Q14432	PDE3A_HUMAN	PDE3A	cGMP-inhibited 3',5'-cyclic phosphodiesterase A	8.928e+06	1.02446e+07	9.9526e+06	9.15482e+06	8.91007e+06	9.93419e+06
Q14444	CAPR1_HUMAN	CAPRIN1	Caprin-1	2.87604e+07	2.81294e+07	2.70558e+07	2.64273e+07	2.57998e+07	2.61173e+07
Q14493	SLBP_HUMAN	SLBP	Histone RNA hairpin-binding protein	2.08072e+06	1.9095e+06	1.52773e+06	1.65306e+06	2.0411e+06	1.85433e+06
Q14498	RBM39_HUMAN	RBM39	RNA-binding protein 39	3.54017e+07	3.6426e+07	3.57913e+07	3.62144e+07	3.57027e+07	3.62533e+07
Q14527	HLTF_HUMAN	HLTF	Helicase-like transcription factor	7.98455e+06	7.87725e+06	7.75937e+06	7.81939e+06	7.3756e+06	7.53407e+06
Q14554	PDIA5_HUMAN	PDIA5	Protein disulfide-isomerase A5	3.12117e+06	3.04005e+06	2.77572e+06	2.94425e+06	3.02279e+06	2.77639e+06
Q14558	KPRA_HUMAN	PRPSAP1	Phosphoribosyl pyrophosphate synthase-associated protein 1	4.01804e+06	4.40575e+06	4.11403e+06	3.94832e+06	3.86572e+06	4.0154e+06
Q14562	DHX8_HUMAN	DHX8	ATP-dependent RNA helicase DHX8	1.60267e+06	1.67726e+06	1.68723e+06	1.58115e+06	1.67852e+06	1.50857e+06
Q14566	MCM6_HUMAN	MCM6	DNA replication licensing factor MCM6	3.90815e+07	4.00283e+07	4.0276e+07	3.92951e+07	3.92433e+07	3.91926e+07
Q14571	ITPR2_HUMAN	ITPR2	Inositol 1,4,5-trisphosphate receptor type 2	5.69358e+06	5.64092e+06	5.44286e+06	5.26366e+06	4.94448e+06	5.09292e+06
Q14573	ITPR3_HUMAN	ITPR3	Inositol 1,4,5-trisphosphate receptor type 3	4.62924e+06	4.54299e+06	4.29003e+06	4.47354e+06	4.53148e+06	4.28844e+06
Q14624	ITIH4_HUMAN	ITIH4	Inter-alpha-trypsin inhibitor heavy chain H4			68839.9		78480.9	
Q14643	ITPR1_HUMAN	ITPR1	Inositol 1,4,5-trisphosphate receptor type 1	3.68508e+06	3.33991e+06	3.06571e+06	3.38172e+06	3.26973e+06	3.53947e+06
Q14651	PLSI_HUMAN	PLS1	Plastin-1	3.01422e+06	3.23293e+06	2.95229e+06	3.01321e+06	2.96045e+06	2.88188e+06
