Protein.Group	Protein.Names	Genes	First.Protein.Description	D:\LZW\Guomics\MS-BERT\Benchmark\fdrs_DIANN19\mzML_new\GUI\Tumor15\A20200127caix_yuanch_TCPA_CA_120min_DIA_09.mzML
Q7LBC6	KDM3B_HUMAN	KDM3B	Lysine-specific demethylase 3B	1.09487e+07
Q7LBR1	CHM1B_HUMAN	CHMP1B	Charged multivesicular body protein 1b	2.21102e+07
Q7LG56	RIR2B_HUMAN	RRM2B	Ribonucleoside-diphosphate reductase subunit M2 B	4.6945e+06
Q7LGA3	HS2ST_HUMAN	HS2ST1	Heparan sulfate 2-O-sulfotransferase 1	1.94467e+06
Q7RTV0	PHF5A_HUMAN	PHF5A	PHD finger-like domain-containing protein 5A	2.47146e+07
Q7Z2E3	APTX_HUMAN	APTX	Aprataxin	3.44928e+06
Q7Z2K6	ERMP1_HUMAN	ERMP1	Endoplasmic reticulum metallopeptidase 1	1.10562e+07
Q7Z2T5	TRM1L_HUMAN	TRMT1L	TRMT1-like protein	1.74609e+07
Q7Z2W4	ZCCHV_HUMAN	ZC3HAV1	Zinc finger CCCH-type antiviral protein 1	1.47492e+07
Q7Z2W9	RM21_HUMAN	MRPL21	Large ribosomal subunit protein bL21m	1.81235e+07
Q7Z2Z2	EFL1_HUMAN	EFL1	Elongation factor-like GTPase 1	3.74266e+06
Q7Z309	PBIR2_HUMAN	PABIR2	PABIR family member 2	1.57951e+06
Q7Z333	SETX_HUMAN	SETX	Probable helicase senataxin	4.27724e+06
Q7Z388	D19L4_HUMAN	DPY19L4	Probable C-mannosyltransferase DPY19L4	5.73647e+06
Q7Z392	TPC11_HUMAN	TRAPPC11	Trafficking protein particle complex subunit 11	2.24355e+07
Q7Z3B1	NEGR1_HUMAN	NEGR1	Neuronal growth regulator 1	376200
Q7Z3B4	NUP54_HUMAN	NUP54	Nucleoporin p54	1.17506e+07
Q7Z3C6	ATG9A_HUMAN	ATG9A	Autophagy-related protein 9A	7.47589e+06
Q7Z3D6	GLUCM_HUMAN	DGLUCY	D-glutamate cyclase, mitochondrial	1.09243e+07
Q7Z3E2	CC186_HUMAN	CCDC186	Coiled-coil domain-containing protein 186	1.52391e+06
Q7Z3E5	ARMC9_HUMAN	ARMC9	LisH domain-containing protein ARMC9	2.73363e+06
Q7Z3J2	VP35L_HUMAN	VPS35L	VPS35 endosomal protein-sorting factor-like	7.55883e+07
Q7Z3K3	POGZ_HUMAN	POGZ	Pogo transposable element with ZNF domain	1.3848e+07
Q7Z3U7	MON2_HUMAN	MON2	Protein MON2 homolog	7.42596e+07
Q7Z3V4	UBE3B_HUMAN	UBE3B	Ubiquitin-protein ligase E3B	1.47067e+06
Q7Z406	MYH14_HUMAN	MYH14	Myosin-14	1.03253e+07
Q7Z417	NUFP2_HUMAN	NUFIP2	FMR1-interacting protein NUFIP2	6.12009e+06
Q7Z422	SZRD1_HUMAN	SZRD1	SUZ domain-containing protein 1	1.24212e+07
Q7Z434	MAVS_HUMAN	MAVS	Mitochondrial antiviral-signaling protein	7.21191e+06
Q7Z460	CLAP1_HUMAN	CLASP1	CLIP-associating protein 1	6.24401e+06
Q7Z478	DHX29_HUMAN	DHX29	ATP-dependent RNA helicase DHX29	9.7639e+06
Q7Z4G1	COMD6_HUMAN	COMMD6	COMM domain-containing protein 6	9.33496e+07
Q7Z4G4	TRM11_HUMAN	TRMT11	tRNA (guanine(10)-N2)-methyltransferase homolog	3.15134e+07
Q7Z4H3	HDDC2_HUMAN	HDDC2	5'-deoxynucleotidase HDDC2	9.25964e+06
Q7Z4H7	HAUS6_HUMAN	HAUS6	HAUS augmin-like complex subunit 6	3.57901e+06
Q7Z4H8	PLGT3_HUMAN	POGLUT3	Protein O-glucosyltransferase 3	3.80884e+06
Q7Z4L5	TT21B_HUMAN	TTC21B	Tetratricopeptide repeat protein 21B	1.70964e+06
Q7Z4Q2	HEAT3_HUMAN	HEATR3	HEAT repeat-containing protein 3	4.35005e+06
Q7Z4S6	KI21A_HUMAN	KIF21A	Kinesin-like protein KIF21A	2.17163e+06
Q7Z4V5	HDGR2_HUMAN	HDGFL2	Hepatoma-derived growth factor-related protein 2	1.55923e+07
Q7Z4W1	DCXR_HUMAN	DCXR	L-xylulose reductase	4.75704e+07
Q7Z569	BRAP_HUMAN	BRAP	BRCA1-associated protein	2.37319e+06
Q7Z5G4	GOGA7_HUMAN	GOLGA7	Golgin subfamily A member 7	4.88879e+06
Q7Z5J4	RAI1_HUMAN	RAI1	Retinoic acid-induced protein 1	1.13069e+06
Q7Z5K2	WAPL_HUMAN	WAPL	Wings apart-like protein homolog	4.85503e+06
Q7Z5L9	I2BP2_HUMAN	IRF2BP2	Interferon regulatory factor 2-binding protein 2	2.41455e+07
Q7Z698	SPRE2_HUMAN	SPRED2	Sprouty-related, EVH1 domain-containing protein 2	4.96936e+06
Q7Z6E9	RBBP6_HUMAN	RBBP6	E3 ubiquitin-protein ligase RBBP6	2.41302e+06
Q7Z6G8	ANS1B_HUMAN	ANKS1B	Ankyrin repeat and sterile alpha motif domain-containing protein 1B	7.96511e+06
Q7Z6I8	CE024_HUMAN	C5orf24	UPF0461 protein C5orf24	1.839e+06
Q7Z6J9	SEN54_HUMAN	TSEN54	tRNA-splicing endonuclease subunit Sen54	2.27374e+06
Q7Z6K5	ARPIN_HUMAN	ARPIN	Arpin	3.47741e+06
Q7Z6M1	RABEK_HUMAN	RABEPK	Rab9 effector protein with kelch motifs	1.41303e+06
Q7Z6M4	MTEF4_HUMAN	MTERF4	Transcription termination factor 4, mitochondrial	3.79647e+06
Q7Z6Z7	HUWE1_HUMAN	HUWE1	E3 ubiquitin-protein ligase HUWE1	3.51109e+07
Q7Z736	PKHH3_HUMAN	PLEKHH3	Pleckstrin homology domain-containing family H member 3	4.19882e+07
Q7Z739	YTHD3_HUMAN	YTHDF3	YTH domain-containing family protein 3	2.53964e+07
Q7Z7A3	CTU1_HUMAN	CTU1	Cytoplasmic tRNA 2-thiolation protein 1	698097
Q7Z7E8	UB2Q1_HUMAN	UBE2Q1	Ubiquitin-conjugating enzyme E2 Q1	5.33715e+06
Q7Z7F7	RM55_HUMAN	MRPL55	Large ribosomal subunit protein mL55	5.54219e+06
Q7Z7H5	TMED4_HUMAN	TMED4	Transmembrane emp24 domain-containing protein 4	1.80932e+07
Q7Z7H8	RM10_HUMAN	MRPL10	Large ribosomal subunit protein uL10m	8.43263e+06
Q7Z7K6	CENPV_HUMAN	CENPV	Centromere protein V	7.68006e+06
Q7Z7L1	SLN11_HUMAN	SLFN11	Schlafen family member 11	3.73088e+06
Q7Z7L7	ZER1_HUMAN	ZER1	Protein zer-1 homolog	1.54147e+07
Q86SF2	GALT7_HUMAN	GALNT7	N-acetylgalactosaminyltransferase 7	8.92673e+06
Q86SX6	GLRX5_HUMAN	GLRX5	Glutaredoxin-related protein 5, mitochondrial	8.88976e+06
Q86T03	PP4P1_HUMAN	PIP4P1	Type 1 phosphatidylinositol 4,5-bisphosphate 4-phosphatase	1.61558e+06
Q86T24	KAISO_HUMAN	ZBTB33	Transcriptional regulator Kaiso	449589
Q86T65	DAAM2_HUMAN	DAAM2	Disheveled-associated activator of morphogenesis 2	755679
Q86TB9	PATL1_HUMAN	PATL1	Protein PAT1 homolog 1	3.54091e+06
Q86TI0	TBCD1_HUMAN	TBC1D1	TBC1 domain family member 1	391005
Q86TI2	DPP9_HUMAN	DPP9	Dipeptidyl peptidase 9	1.70673e+06
Q86TJ2	TAD2B_HUMAN	TADA2B	Transcriptional adapter 2-beta	1.35904e+06
Q86TN4	TRPT1_HUMAN	TRPT1	tRNA 2'-phosphotransferase 1	1.01998e+06
Q86TP1	PRUN1_HUMAN	PRUNE1	Exopolyphosphatase PRUNE1	9.93761e+06
Q86TS9	RM52_HUMAN	MRPL52	Large ribosomal subunit protein mL52	4.31684e+06
Q86TU7	SETD3_HUMAN	SETD3	Actin-histidine N-methyltransferase	6.40453e+06
Q86TV6	TTC7B_HUMAN	TTC7B	Tetratricopeptide repeat protein 7B	1.18237e+06
Q86U06	RBM23_HUMAN	RBM23	Probable RNA-binding protein 23	621588
Q86U28	ISCA2_HUMAN	ISCA2	Iron-sulfur cluster assembly 2 homolog, mitochondrial	5.35053e+06
Q86U38	NOP9_HUMAN	NOP9	Nucleolar protein 9	6.62606e+06
Q86U42	PABP2_HUMAN	PABPN1	Polyadenylate-binding protein 2	4.64837e+07
Q86U44	MTA70_HUMAN	METTL3	N6-adenosine-methyltransferase catalytic subunit	4.14478e+06
Q86U70	LDB1_HUMAN	LDB1	LIM domain-binding protein 1	1.39855e+07
Q86U86	PB1_HUMAN	PBRM1	Protein polybromo-1	3.10186e+07
Q86U90	YRDC_HUMAN	YRDC	Threonylcarbamoyl-AMP synthase	5.01548e+06
Q86UA1	PRP39_HUMAN	PRPF39	Pre-mRNA-processing factor 39	5.45441e+06
Q86UE4	LYRIC_HUMAN	MTDH	Protein LYRIC	4.24111e+07
Q86UE8	TLK2_HUMAN	TLK2	Serine/threonine-protein kinase tousled-like 2	4.60657e+06
Q86UK0	ABCAC_HUMAN	ABCA12	Glucosylceramide transporter ABCA12	6.48213e+07
Q86UK7	ZN598_HUMAN	ZNF598	E3 ubiquitin-protein ligase ZNF598	5.01875e+06
Q86UL3	GPAT4_HUMAN	GPAT4	Glycerol-3-phosphate acyltransferase 4	1.18134e+06
Q86UP2	KTN1_HUMAN	KTN1	Kinectin	2.30885e+07
Q86US8	EST1A_HUMAN	SMG6	Telomerase-binding protein EST1A	689648
Q86UT6	NLRX1_HUMAN	NLRX1	NLR family member X1	4.01166e+06
Q86UU1	PHLB1_HUMAN	PHLDB1	Pleckstrin homology-like domain family B member 1	2.47286e+06
Q86UV5	UBP48_HUMAN	USP48	Ubiquitin carboxyl-terminal hydrolase 48	5.57798e+06
Q86UX6	ST32C_HUMAN	STK32C	Serine/threonine-protein kinase 32C	3.70846e+06
Q86UX7	URP2_HUMAN	FERMT3	Fermitin family homolog 3	5.08672e+06
Q86UY6	NAA40_HUMAN	NAA40	N-alpha-acetyltransferase 40	1.32046e+06
Q86UY8	NT5D3_HUMAN	NT5DC3	5'-nucleotidase domain-containing protein 3	1.02204e+07
Q86V15	CASZ1_HUMAN	CASZ1	Zinc finger protein castor homolog 1	493639
Q86V21	AACS_HUMAN	AACS	Acetoacetyl-CoA synthetase	4.88753e+06
Q86V48	LUZP1_HUMAN	LUZP1	Leucine zipper protein 1	1.45812e+06
Q86V81	THOC4_HUMAN	ALYREF	THO complex subunit 4	2.77204e+08
Q86VM9	ZCH18_HUMAN	ZC3H18	Zinc finger CCCH domain-containing protein 18	5.01944e+06
Q86VN1	VPS36_HUMAN	VPS36	Vacuolar protein-sorting-associated protein 36	1.50696e+06
Q86VP6	CAND1_HUMAN	CAND1	Cullin-associated NEDD8-dissociated protein 1	6.98388e+07
Q86VQ1	GLCI1_HUMAN	GLCCI1	Glucocorticoid-induced transcript 1 protein	833923
Q86VR2	RETR3_HUMAN	RETREG3	Reticulophagy regulator 3	1.74648e+06
Q86VS8	HOOK3_HUMAN	HOOK3	Protein Hook homolog 3	3.3964e+06
Q86VU5	CMTD1_HUMAN	COMTD1	Catechol O-methyltransferase domain-containing protein 1	1.75595e+06
Q86VW0	SESD1_HUMAN	SESTD1	SEC14 domain and spectrin repeat-containing protein 1	1.8558e+06
Q86VX2	COMD7_HUMAN	COMMD7	COMM domain-containing protein 7	2.43635e+06
Q86VY4	TSYL5_HUMAN	TSPYL5	Testis-specific Y-encoded-like protein 5	2.10867e+07
Q86W34	AMZ2_HUMAN	AMZ2	Archaemetzincin-2	1.87884e+06
Q86W42	THOC6_HUMAN	THOC6	THO complex subunit 6 homolog	6.13903e+06
Q86W50	MET16_HUMAN	METTL16	RNA N6-adenosine-methyltransferase METTL16	4.78058e+06
Q86W56	PARG_HUMAN	PARG	Poly(ADP-ribose) glycohydrolase	3.60349e+06
Q86W92	LIPB1_HUMAN	PPFIBP1	Liprin-beta-1	5.16061e+06
Q86WA6	BPHL_HUMAN	BPHL	Valacyclovir hydrolase	2.4966e+07
Q86WA8	LONP2_HUMAN	LONP2	Lon protease homolog 2, peroxisomal	886840
Q86WB0	ZC3C1_HUMAN	ZC3HC1	Zinc finger C3HC-type protein 1	5.66031e+06
Q86WG5	MTMRD_HUMAN	SBF2	Myotubularin-related protein 13	3.9471e+06
Q86WJ1	CHD1L_HUMAN	CHD1L	Chromodomain-helicase-DNA-binding protein 1-like	1.51986e+07
Q86WQ0	NR2CA_HUMAN	NR2C2AP	Nuclear receptor 2C2-associated protein	3.78647e+06
Q86WR0	CCD25_HUMAN	CCDC25	Coiled-coil domain-containing protein 25	2.10494e+06
Q86WR7	PRSR2_HUMAN	PROSER2	Proline and serine-rich protein 2	4.65707e+06
Q86WT1	IT70A_HUMAN	IFT70A	Intraflagellar transport protein 70A	2.23567e+06
Q86WV6	STING_HUMAN	STING1	Stimulator of interferon genes protein	2.82056e+06
Q86WX3	AROS_HUMAN	RPS19BP1	Active regulator of SIRT1	1.50189e+07
Q86X10	RLGPB_HUMAN	RALGAPB	Ral GTPase-activating protein subunit beta	1.88234e+06
Q86X29	LSR_HUMAN	LSR	Lipolysis-stimulated lipoprotein receptor	6.95352e+06
Q86X55	CARM1_HUMAN	CARM1	Histone-arginine methyltransferase CARM1	9.83873e+06
Q86X76	NIT1_HUMAN	NIT1	Deaminated glutathione amidase	1.82257e+07
Q86X83	COMD2_HUMAN	COMMD2	COMM domain-containing protein 2	3.42364e+07
Q86XA9	HTR5A_HUMAN	HEATR5A	HEAT repeat-containing protein 5A	119374
Q86XE0	SNX32_HUMAN	SNX32	Sorting nexin-32	148912
Q86XI2	CNDG2_HUMAN	NCAPG2	Condensin-2 complex subunit G2	308010
Q86XL3	ANKL2_HUMAN	ANKLE2	Ankyrin repeat and LEM domain-containing protein 2	1.65478e+07
Q86XP3	DDX42_HUMAN	DDX42	ATP-dependent RNA helicase DDX42	2.03362e+07
Q86XZ4	SPAS2_HUMAN	SPATS2	Spermatogenesis-associated serine-rich protein 2	1.57432e+07
Q86Y07	VRK2_HUMAN	VRK2	Serine/threonine-protein kinase VRK2	1.5283e+06
Q86Y37	CACL1_HUMAN	CACUL1	CDK2-associated and cullin domain-containing protein 1	2.53428e+06
Q86Y56	DAAF5_HUMAN	DNAAF5	Dynein axonemal assembly factor 5	8.67277e+06
Q86Y82	STX12_HUMAN	STX12	Syntaxin-12	6.92631e+06
Q86YC3	LRC33_HUMAN	NRROS	Transforming growth factor beta activator LRRC33	1.02637e+07
Q86YH6	DLP1_HUMAN	PDSS2	All trans-polyprenyl-diphosphate synthase PDSS2	1.473e+06
Q86YM7	HOME1_HUMAN	HOMER1	Homer protein homolog 1	328228
Q86YP4	P66A_HUMAN	GATAD2A	Transcriptional repressor p66-alpha	1.06415e+07
Q86YR5	GPSM1_HUMAN	GPSM1	G-protein-signaling modulator 1	3.81611e+06
Q86YS6	RAB43_HUMAN	RAB43	Ras-related protein Rab-43	6.17507e+06
Q86YS7	C2CD5_HUMAN	C2CD5	C2 domain-containing protein 5	1.02188e+07
Q86YT6	MIB1_HUMAN	MIB1	E3 ubiquitin-protein ligase MIB1	969314
Q86YV9	HPS6_HUMAN	HPS6	BLOC-2 complex member HPS6	1.92519e+06
Q8IU60	DCP2_HUMAN	DCP2	m7GpppN-mRNA hydrolase	686097
Q8IU81	I2BP1_HUMAN	IRF2BP1	Interferon regulatory factor 2-binding protein 1	4.50034e+06
Q8IU85	KCC1D_HUMAN	CAMK1D	Calcium/calmodulin-dependent protein kinase type 1D	3.0928e+07
Q8IUC4	RHPN2_HUMAN	RHPN2	Rhophilin-2	4.06484e+06
Q8IUD2	RB6I2_HUMAN	ERC1	ELKS/Rab6-interacting/CAST family member 1	1.00413e+07
Q8IUE6	H2A2B_HUMAN	H2AC21	Histone H2A type 2-B	4.09902e+08
Q8IUF8	RIOX2_HUMAN	RIOX2	Ribosomal oxygenase 2	1.81401e+06
Q8IUH3	RBM45_HUMAN	RBM45	RNA-binding protein 45	2.62193e+06
Q8IUH4	ZDH13_HUMAN	ZDHHC13	Palmitoyltransferase ZDHHC13	2.04588e+06
Q8IUI8	CRLF3_HUMAN	CRLF3	Cytokine receptor-like factor 3	1.6195e+06
Q8IUR0	TPPC5_HUMAN	TRAPPC5	Trafficking protein particle complex subunit 5	6.03072e+06
Q8IUR7	ARMC8_HUMAN	ARMC8	Armadillo repeat-containing protein 8	3.36559e+06
Q8IUX1	T126B_HUMAN	TMEM126B	Complex I assembly factor TMEM126B, mitochondrial	1.26553e+06
Q8IUX7	AEBP1_HUMAN	AEBP1	Adipocyte enhancer-binding protein 1	3.11433e+07
Q8IV03	LUR1L_HUMAN	LURAP1L	Leucine rich adaptor protein 1-like	6.67435e+06
Q8IV08	PLD3_HUMAN	PLD3	5'-3' exonuclease PLD3	1.0425e+07
Q8IV36	HID1_HUMAN	HID1	Protein HID1	4.2803e+06
Q8IV38	ANKY2_HUMAN	ANKMY2	Ankyrin repeat and MYND domain-containing protein 2	1.80925e+06
Q8IV48	ERI1_HUMAN	ERI1	3'-5' exoribonuclease 1	1.52439e+06
Q8IV50	LYSM2_HUMAN	LYSMD2	LysM and putative peptidoglycan-binding domain-containing protein 2	6.65523e+06
Q8IV63	VRK3_HUMAN	VRK3	Inactive serine/threonine-protein kinase VRK3	861052
Q8IVD9	NUDC3_HUMAN	NUDCD3	NudC domain-containing protein 3	2.69131e+06
Q8IVH2	FOXP4_HUMAN	FOXP4	Forkhead box protein P4	1.84581e+06
Q8IVH4	MMAA_HUMAN	MMAA	Methylmalonic aciduria type A protein, mitochondrial	4.77277e+06
Q8IVH8	M4K3_HUMAN	MAP4K3	Mitogen-activated protein kinase kinase kinase kinase 3	852235
Q8IVL0	NAV3_HUMAN	NAV3	Neuron navigator 3	1.0137e+07
Q8IVL6	P3H3_HUMAN	P3H3	Prolyl 3-hydroxylase 3	1.14661e+07
Q8IVM0	CCD50_HUMAN	CCDC50	Coiled-coil domain-containing protein 50	9.7792e+06
Q8IVS2	FABD_HUMAN	MCAT	Malonyl-CoA-acyl carrier protein transacylase, mitochondrial	7.79458e+06
Q8IVT2	MISP_HUMAN	MISP	Mitotic interactor and substrate of PLK1	2.25857e+06
Q8IW45	NNRD_HUMAN	NAXD	ATP-dependent (S)-NAD(P)H-hydrate dehydratase	4.64505e+06
Q8IW92	GLBL2_HUMAN	GLB1L2	Beta-galactosidase-1-like protein 2	1.12835e+06
Q8IWA0	WDR75_HUMAN	WDR75	WD repeat-containing protein 75	1.70105e+07
Q8IWA4	MFN1_HUMAN	MFN1	Mitofusin-1	7.05122e+06
Q8IWB1	IPRI_HUMAN	ITPRIP	Inositol 1,4,5-trisphosphate receptor-interacting protein	2.95215e+06
Q8IWB7	WDFY1_HUMAN	WDFY1	WD repeat and FYVE domain-containing protein 1	7.84069e+06
Q8IWB9	TEX2_HUMAN	TEX2	Testis-expressed protein 2	1.07244e+06
Q8IWE2	NXP20_HUMAN	FAM114A1	Protein NOXP20	6.72168e+06
Q8IWE5	PKHM2_HUMAN	PLEKHM2	Pleckstrin homology domain-containing family M member 2	395360
Q8IWF6	DEN6A_HUMAN	DENND6A	Protein DENND6A	2.19119e+06
Q8IWI9	MGAP_HUMAN	MGA	MAX gene-associated protein	1.35051e+06
Q8IWJ2	GCC2_HUMAN	GCC2	GRIP and coiled-coil domain-containing protein 2	2.28077e+06
Q8IWK6	AGRA3_HUMAN	ADGRA3	Adhesion G protein-coupled receptor A3	5.57468e+06
Q8IWL1	SFPA2_HUMAN	SFTPA2	Pulmonary surfactant-associated protein A2	1.20555e+07
Q8IWL3	HSC20_HUMAN	HSCB	Iron-sulfur cluster co-chaperone protein HscB	1.99928e+06
Q8IWR0	Z3H7A_HUMAN	ZC3H7A	Zinc finger CCCH domain-containing protein 7A	1.40993e+06
Q8IWS0	PHF6_HUMAN	PHF6	PHD finger protein 6	1.51833e+07
Q8IWT0	ARCH_HUMAN	ZBTB8OS	Protein archease	1.71634e+06
Q8IWT3	CUL9_HUMAN	CUL9	Cullin-9	9.74113e+06
Q8IWU6	SULF1_HUMAN	SULF1	Extracellular sulfatase Sulf-1	1.23291e+06
Q8IWV7	UBR1_HUMAN	UBR1	E3 ubiquitin-protein ligase UBR1	1.8791e+07
Q8IWV8	UBR2_HUMAN	UBR2	E3 ubiquitin-protein ligase UBR2	2.68175e+06
Q8IWW6	RHG12_HUMAN	ARHGAP12	Rho GTPase-activating protein 12	2.10689e+06
Q8IWX8	CHERP_HUMAN	CHERP	Calcium homeostasis endoplasmic reticulum protein	3.39952e+07
Q8IWY9	CDAN1_HUMAN	CDAN1	Codanin-1	1.09315e+06
Q8IWZ3	ANKH1_HUMAN	ANKHD1	Ankyrin repeat and KH domain-containing protein 1	5.12461e+06
Q8IWZ8	SUGP1_HUMAN	SUGP1	SURP and G-patch domain-containing protein 1	2.57427e+06
Q8IX01	SUGP2_HUMAN	SUGP2	SURP and G-patch domain-containing protein 2	4.4479e+06
Q8IX12	CCAR1_HUMAN	CCAR1	Cell division cycle and apoptosis regulator protein 1	3.49128e+07
Q8IX15	HOMEZ_HUMAN	HOMEZ	Homeobox and leucine zipper protein Homez	488902
Q8IX18	DHX40_HUMAN	DHX40	Probable ATP-dependent RNA helicase DHX40	2.36072e+06
Q8IXB1	DJC10_HUMAN	DNAJC10	DnaJ homolog subfamily C member 10	5.6011e+06
Q8IXH7	NELFD_HUMAN	NELFCD	Negative elongation factor C/D	6.18195e+06
Q8IXI1	MIRO2_HUMAN	RHOT2	Mitochondrial Rho GTPase 2	1.21867e+07
Q8IXI2	MIRO1_HUMAN	RHOT1	Mitochondrial Rho GTPase 1	1.09495e+07
Q8IXJ6	SIR2_HUMAN	SIRT2	NAD-dependent protein deacetylase sirtuin-2	850431
Q8IXK0	PHC2_HUMAN	PHC2	Polyhomeotic-like protein 2	4.61505e+06
Q8IXM2	BAP18_HUMAN	BAP18	Chromatin complexes subunit BAP18	1.69675e+07
Q8IXM3	RM41_HUMAN	MRPL41	Large ribosomal subunit protein mL41	1.30118e+07
Q8IXM6	NRM_HUMAN	NRM	Nurim	2.9572e+06
Q8IXQ4	GPAM1_HUMAN	GPALPP1	GPALPP motifs-containing protein 1	911751
Q8IXQ5	KLHL7_HUMAN	KLHL7	Kelch-like protein 7	540338
Q8IXQ6	PARP9_HUMAN	PARP9	Protein mono-ADP-ribosyltransferase PARP9	3.04455e+06
Q8IXT5	RB12B_HUMAN	RBM12B	RNA-binding protein 12B	2.44525e+07
Q8IY17	PLPL6_HUMAN	PNPLA6	Patatin-like phospholipase domain-containing protein 6	2.00903e+06
Q8IY18	SMC5_HUMAN	SMC5	Structural maintenance of chromosomes protein 5	536113
Q8IY21	DDX60_HUMAN	DDX60	Probable ATP-dependent RNA helicase DDX60	1.1128e+06
Q8IY22	CMIP_HUMAN	CMIP	C-Maf-inducing protein	3.20953e+06
Q8IY31	IFT20_HUMAN	IFT20	Intraflagellar transport protein 20 homolog	4.53021e+06
Q8IY37	DHX37_HUMAN	DHX37	Probable ATP-dependent RNA helicase DHX37	3.89336e+06
Q8IY47	KBTB2_HUMAN	KBTBD2	Kelch repeat and BTB domain-containing protein 2	2.86697e+06
Q8IY67	RAVR1_HUMAN	RAVER1	Ribonucleoprotein PTB-binding 1	6.37242e+06
Q8IY81	SPB1_HUMAN	FTSJ3	pre-rRNA 2'-O-ribose RNA methyltransferase FTSJ3	1.47086e+07
Q8IYB3	SRRM1_HUMAN	SRRM1	Serine/arginine repetitive matrix protein 1	1.5761e+07
Q8IYB5	SMAP1_HUMAN	SMAP1	Stromal membrane-associated protein 1	5.67428e+06
Q8IYB7	DI3L2_HUMAN	DIS3L2	DIS3-like exonuclease 2	3.59114e+06
Q8IYB8	SUV3_HUMAN	SUPV3L1	ATP-dependent RNA helicase SUPV3L1, mitochondrial	1.72161e+07
Q8IYD1	ERF3B_HUMAN	GSPT2	Eukaryotic peptide chain release factor GTP-binding subunit ERF3B	2.25696e+07
Q8IYH5	ZZZ3_HUMAN	ZZZ3	ZZ-type zinc finger-containing protein 3	1.0511e+07
Q8IYI6	EXOC8_HUMAN	EXOC8	Exocyst complex component 8	4.31067e+06
Q8IYJ3	SYTL1_HUMAN	SYTL1	Synaptotagmin-like protein 1	1.5758e+06
Q8IYL3	CA174_HUMAN	C1orf174	UPF0688 protein C1orf174	1.68705e+06
Q8IYQ7	THNS1_HUMAN	THNSL1	Threonine synthase-like 1	2.09689e+09
Q8IYS0	ASTRC_HUMAN	GRAMD1C	Protein Aster-C	6.38938e+07
Q8IYS1	P20D2_HUMAN	PM20D2	Xaa-Arg dipeptidase	3.17353e+06
Q8IYS2	K2013_HUMAN	KIAA2013	Uncharacterized protein KIAA2013	7.44562e+06
Q8IYU2	HACE1_HUMAN	HACE1	E3 ubiquitin-protein ligase HACE1	1.74031e+06
Q8IZ07	AN13A_HUMAN	ANKRD13A	Ankyrin repeat domain-containing protein 13A	3.2432e+06
Q8IZ21	PHAR4_HUMAN	PHACTR4	Phosphatase and actin regulator 4	2.8477e+06
Q8IZ40	RCOR2_HUMAN	RCOR2	REST corepressor 2	2.76454e+06
Q8IZ69	TRM2A_HUMAN	TRMT2A	tRNA (uracil-5-)-methyltransferase homolog A	1.84967e+06
Q8IZ73	RUSD2_HUMAN	RPUSD2	Pseudouridylate synthase RPUSD2	2.44265e+07
Q8IZ81	ELMD2_HUMAN	ELMOD2	ELMO domain-containing protein 2	1.79945e+06
Q8IZ83	A16A1_HUMAN	ALDH16A1	Aldehyde dehydrogenase family 16 member A1	3.82978e+06
Q8IZA0	K319L_HUMAN	KIAA0319L	Dyslexia-associated protein KIAA0319-like protein	2.72808e+06
Q8IZD4	DCP1B_HUMAN	DCP1B	mRNA-decapping enzyme 1B	4.01007e+06
Q8IZE3	PACE1_HUMAN	SCYL3	Protein-associating with the carboxyl-terminal domain of ezrin	1.12424e+06
Q8IZH2	XRN1_HUMAN	XRN1	5'-3' exoribonuclease 1	6.84232e+06
Q8IZL8	PELP1_HUMAN	PELP1	Proline-, glutamic acid- and leucine-rich protein 1	9.87654e+06
Q8IZP0	ABI1_HUMAN	ABI1	Abl interactor 1	1.85968e+07
Q8IZQ1	WDFY3_HUMAN	WDFY3	WD repeat and FYVE domain-containing protein 3	1.30007e+06
Q8IZQ5	SELH_HUMAN	SELENOH	Selenoprotein H	4.07566e+07
Q8IZV5	RDH10_HUMAN	RDH10	Retinol dehydrogenase 10	1.63332e+07
Q8N0U4	F185A_HUMAN	FAM185A	Protein FAM185A	1.39063e+06
Q8N0U8	VKORL_HUMAN	VKORC1L1	Vitamin K epoxide reductase complex subunit 1-like protein 1	537676
Q8N0W3	FCSK_HUMAN	FCSK	L-fucose kinase	2.34978e+06
Q8N0X4	CLYBL_HUMAN	CLYBL	Citramalyl-CoA lyase, mitochondrial	1.71134e+06
Q8N0X7	SPART_HUMAN	SPART	Spartin	893515
Q8N0Z6	TTC5_HUMAN	TTC5	Tetratricopeptide repeat protein 5	2.05273e+06
Q8N0Z8	PUSL1_HUMAN	PUSL1	tRNA pseudouridine synthase-like 1	1.27213e+06
Q8N108	MIER1_HUMAN	MIER1	Mesoderm induction early response protein 1	1.01908e+06
Q8N118	CP4X1_HUMAN	CYP4X1	Cytochrome P450 4X1	4.02014e+06
Q8N122	RPTOR_HUMAN	RPTOR	Regulatory-associated protein of mTOR	3.4263e+07
Q8N131	PORIM_HUMAN	TMEM123	Porimin	1.4924e+07
Q8N163	CCAR2_HUMAN	CCAR2	Cell cycle and apoptosis regulator protein 2	2.19167e+07
Q8N183	NDUF2_HUMAN	NDUFAF2	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 2	1.1839e+07
