Protein.Group	Protein.Names	Genes	First.Protein.Description	E:\DIArt_model\human\B20190315yix_KRUK_DIA_b1_13.mzML
Q13948	CASP_HUMAN	CUX1	Protein CASP	3.46039e+06
Q13952	NFYC_HUMAN	NFYC	Nuclear transcription factor Y subunit gamma	6.50815e+06
Q13976	KGP1_HUMAN	PRKG1	cGMP-dependent protein kinase 1	7.64537e+06
Q14008	CKAP5_HUMAN	CKAP5	Cytoskeleton-associated protein 5	1.52445e+07
Q14011	CIRBP_HUMAN	CIRBP	Cold-inducible RNA-binding protein	1.03105e+08
Q14012	KCC1A_HUMAN	CAMK1	Calcium/calmodulin-dependent protein kinase type 1	2.03094e+07
Q14019	COTL1_HUMAN	COTL1	Coactosin-like protein	1.50903e+08
Q14103	HNRPD_HUMAN	HNRNPD	Heterogeneous nuclear ribonucleoprotein D0	2.61725e+08
Q14108	SCRB2_HUMAN	SCARB2	Lysosome membrane protein 2	4.26456e+07
Q14112	NID2_HUMAN	NID2	Nidogen-2	5.43103e+07
Q14116	IL18_HUMAN	IL18	Interleukin-18	8.75215e+06
Q14117	DPYS_HUMAN	DPYS	Dihydropyrimidinase	5.26198e+06
Q14118	DAG1_HUMAN	DAG1	Dystroglycan 1	2.6306e+07
Q14126	DSG2_HUMAN	DSG2	Desmoglein-2	2.30128e+07
Q14135	VGLL4_HUMAN	VGLL4	Transcription cofactor vestigial-like protein 4	4.16114e+06
Q14137	BOP1_HUMAN	BOP1	Ribosome biogenesis protein BOP1	8.78612e+06
Q14139	UBE4A_HUMAN	UBE4A	Ubiquitin conjugation factor E4 A	1.32038e+07
Q14141	SEPT6_HUMAN	SEPTIN6	Septin-6	1.17226e+07
Q14151	SAFB2_HUMAN	SAFB2	Scaffold attachment factor B2	4.84531e+07
Q14152	EIF3A_HUMAN	EIF3A	Eukaryotic translation initiation factor 3 subunit A	4.18664e+07
Q14155	ARHG7_HUMAN	ARHGEF7	Rho guanine nucleotide exchange factor 7	5.33258e+06
Q14156	EFR3A_HUMAN	EFR3A	Protein EFR3 homolog A	4.3005e+06
Q14157	UBP2L_HUMAN	UBAP2L	Ubiquitin-associated protein 2-like	2.68093e+07
Q14160	SCRIB_HUMAN	SCRIB	Protein scribble homolog	6.76303e+06
Q14161	GIT2_HUMAN	GIT2	ARF GTPase-activating protein GIT2	4.31102e+06
Q14165	MLEC_HUMAN	MLEC	Malectin	1.17412e+07
Q14166	TTL12_HUMAN	TTLL12	Tubulin--tyrosine ligase-like protein 12	2.23657e+07
Q14185	DOCK1_HUMAN	DOCK1	Dedicator of cytokinesis protein 1	1.72149e+06
Q14194	DPYL1_HUMAN	CRMP1	Dihydropyrimidinase-related protein 1	8.008e+06
Q14195	DPYL3_HUMAN	DPYSL3	Dihydropyrimidinase-related protein 3	5.9139e+08
Q14203	DCTN1_HUMAN	DCTN1	Dynactin subunit 1	3.90598e+07
Q14204	DYHC1_HUMAN	DYNC1H1	Cytoplasmic dynein 1 heavy chain 1	5.54491e+07
Q14232	EI2BA_HUMAN	EIF2B1	Translation initiation factor eIF-2B subunit alpha	5.9571e+06
Q14240	IF4A2_HUMAN	EIF4A2	Eukaryotic initiation factor 4A-II	6.80832e+07
Q14244	MAP7_HUMAN	MAP7	Ensconsin	3.01605e+07
Q14247	SRC8_HUMAN	CTTN	Src substrate cortactin	1.26253e+08
Q14249	NUCG_HUMAN	ENDOG	Endonuclease G, mitochondrial	1.52554e+06
Q14254	FLOT2_HUMAN	FLOT2	Flotillin-2	2.51265e+07
Q14257	RCN2_HUMAN	RCN2	Reticulocalbin-2	1.36484e+07
Q14258	TRI25_HUMAN	TRIM25	E3 ubiquitin/ISG15 ligase TRIM25	3.93027e+07
Q14314	FGL2_HUMAN	FGL2	Fibroleukin	3.31826e+07
Q14315	FLNC_HUMAN	FLNC	Filamin-C	2.01405e+08
Q14318	FKBP8_HUMAN	FKBP8	Peptidyl-prolyl cis-trans isomerase FKBP8	6.21211e+06
Q14320	FA50A_HUMAN	FAM50A	Protein FAM50A	1.74623e+07
Q14331	FRG1_HUMAN	FRG1	Protein FRG1	9.18664e+06
Q14344	GNA13_HUMAN	GNA13	Guanine nucleotide-binding protein subunit alpha-13	2.79835e+08
Q14376	GALE_HUMAN	GALE	UDP-glucose 4-epimerase	7.21783e+06
Q14432	PDE3A_HUMAN	PDE3A	cGMP-inhibited 3',5'-cyclic phosphodiesterase 3A	1.55296e+07
Q14435	GALT3_HUMAN	GALNT3	Polypeptide N-acetylgalactosaminyltransferase 3	1.94825e+07
Q14444	CAPR1_HUMAN	CAPRIN1	Caprin-1	7.73334e+07
Q14493	SLBP_HUMAN	SLBP	Histone RNA hairpin-binding protein	2.12177e+06
Q14498	RBM39_HUMAN	RBM39	RNA-binding protein 39	2.83377e+07
Q14515	SPRL1_HUMAN	SPARCL1	SPARC-like protein 1	4.44233e+06
Q14554	PDIA5_HUMAN	PDIA5	Protein disulfide-isomerase A5	1.44521e+07
Q14558	KPRA_HUMAN	PRPSAP1	Phosphoribosyl pyrophosphate synthase-associated protein 1	2.24447e+07
Q14566	MCM6_HUMAN	MCM6	DNA replication licensing factor MCM6	3.28213e+07
Q14571	ITPR2_HUMAN	ITPR2	Inositol 1,4,5-trisphosphate receptor type 2	2.45247e+06
Q14573	ITPR3_HUMAN	ITPR3	Inositol 1,4,5-trisphosphate receptor type 3	896637
Q14624	ITIH4_HUMAN	ITIH4	Inter-alpha-trypsin inhibitor heavy chain H4	3.12705e+07
Q14643	ITPR1_HUMAN	ITPR1	Inositol 1,4,5-trisphosphate receptor type 1	2.06895e+07
Q14651	PLSI_HUMAN	PLS1	Plastin-1	6.3756e+07
Q14669	TRIPC_HUMAN	TRIP12	E3 ubiquitin-protein ligase TRIP12	2.65287e+06
Q14671	PUM1_HUMAN	PUM1	Pumilio homolog 1	1.96886e+07
Q14677	EPN4_HUMAN	CLINT1	Clathrin interactor 1	4.16632e+07
Q14683	SMC1A_HUMAN	SMC1A	Structural maintenance of chromosomes protein 1A	4.76123e+07
Q14684	RRP1B_HUMAN	RRP1B	Ribosomal RNA processing protein 1 homolog B	7.66484e+06
Q14690	RRP5_HUMAN	PDCD11	Protein RRP5 homolog	3.49428e+06
Q14692	BMS1_HUMAN	BMS1	Ribosome biogenesis protein BMS1 homolog	1.17973e+07
Q14694	UBP10_HUMAN	USP10	Ubiquitin carboxyl-terminal hydrolase 10	2.68028e+07
Q14696	MESD_HUMAN	MESD	LRP chaperone MESD	2.58875e+07
Q14697	GANAB_HUMAN	GANAB	Neutral alpha-glucosidase AB	1.71547e+08
Q14699	RFTN1_HUMAN	RFTN1	Raftlin	5.63455e+06
Q14738	2A5D_HUMAN	PPP2R5D	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit delta isoform	9.61839e+06
Q14739	LBR_HUMAN	LBR	Delta(14)-sterol reductase LBR	4.49121e+07
Q14746	COG2_HUMAN	COG2	Conserved oligomeric Golgi complex subunit 2	3.30812e+06
Q14764	MVP_HUMAN	MVP	Major vault protein	2.72482e+08
Q14766	LTBP1_HUMAN	LTBP1	Latent-transforming growth factor beta-binding protein 1	6.58328e+07
Q14767	LTBP2_HUMAN	LTBP2	Latent-transforming growth factor beta-binding protein 2	1.93303e+07
Q14789	GOGB1_HUMAN	GOLGB1	Golgin subfamily B member 1	1.86086e+07
Q14790	CASP8_HUMAN	CASP8	Caspase-8	4.1095e+06
Q14802	FXYD3_HUMAN	FXYD3	FXYD domain-containing ion transport regulator 3	1.54306e+07
Q14807	KIF22_HUMAN	KIF22	Kinesin-like protein KIF22	4.14872e+06
Q14839	CHD4_HUMAN	CHD4	Chromodomain-helicase-DNA-binding protein 4	2.74166e+07
Q14847	LASP1_HUMAN	LASP1	LIM and SH3 domain protein 1	3.90927e+08
Q14894	CRYM_HUMAN	CRYM	Ketimine reductase mu-crystallin	2.03635e+06
Q14914	PTGR1_HUMAN	PTGR1	Prostaglandin reductase 1	2.803e+07
Q14919	NC2A_HUMAN	DRAP1	Dr1-associated corepressor	4.40829e+06
Q14938	NFIX_HUMAN	NFIX	Nuclear factor 1 X-type	5.01901e+06
Q14956	GPNMB_HUMAN	GPNMB	Transmembrane glycoprotein NMB	4.21474e+07
Q14966	ZN638_HUMAN	ZNF638	Zinc finger protein 638	1.85338e+07
Q14974	IMB1_HUMAN	KPNB1	Importin subunit beta-1	9.78295e+07
Q14978	NOLC1_HUMAN	NOLC1	Nucleolar and coiled-body phosphoprotein 1	3.18614e+07
Q14980	NUMA1_HUMAN	NUMA1	Nuclear mitotic apparatus protein 1	1.35863e+08
Q14BN4	SLMAP_HUMAN	SLMAP	Sarcolemmal membrane-associated protein	9.99783e+07
Q14C86	GAPD1_HUMAN	GAPVD1	GTPase-activating protein and VPS9 domain-containing protein 1	7.40278e+06
Q14CX7	NAA25_HUMAN	NAA25	N-alpha-acetyltransferase 25, NatB auxiliary subunit	1.03742e+07
Q15003	CND2_HUMAN	NCAPH	Condensin complex subunit 2	6.50622e+06
Q15004	PAF15_HUMAN	PCLAF	PCNA-associated factor	1.07857e+07
Q15005	SPCS2_HUMAN	SPCS2	Signal peptidase complex subunit 2	2.55319e+07
Q15006	EMC2_HUMAN	EMC2	ER membrane protein complex subunit 2	8.47142e+06
Q15007	FL2D_HUMAN	WTAP	Pre-mRNA-splicing regulator WTAP	2.23578e+07
Q15008	PSMD6_HUMAN	PSMD6	26S proteasome non-ATPase regulatory subunit 6	5.53481e+07
Q15014	MO4L2_HUMAN	MORF4L2	Mortality factor 4-like protein 2	6.4617e+06
Q15018	ABRX2_HUMAN	ABRAXAS2	BRISC complex subunit Abraxas 2	1.54225e+07
Q15019	SEPT2_HUMAN	SEPTIN2	Septin-2	1.15983e+08
Q15020	SART3_HUMAN	SART3	Squamous cell carcinoma antigen recognized by T-cells 3	2.56871e+07
Q15021	CND1_HUMAN	NCAPD2	Condensin complex subunit 1	3.98517e+06
Q15029	U5S1_HUMAN	EFTUD2	116 kDa U5 small nuclear ribonucleoprotein component	1.31164e+08
Q15042	RB3GP_HUMAN	RAB3GAP1	Rab3 GTPase-activating protein catalytic subunit	3.91678e+06
Q15043	S39AE_HUMAN	SLC39A14	Metal cation symporter ZIP14	1.14207e+07
Q15046	SYK_HUMAN	KARS1	Lysine--tRNA ligase	5.84342e+07
Q15050	RRS1_HUMAN	RRS1	Ribosome biogenesis regulatory protein homolog	1.14413e+07
Q15052	ARHG6_HUMAN	ARHGEF6	Rho guanine nucleotide exchange factor 6	5.82676e+06
Q15054	DPOD3_HUMAN	POLD3	DNA polymerase delta subunit 3	9.49062e+06
Q15056	IF4H_HUMAN	EIF4H	Eukaryotic translation initiation factor 4H	1.1568e+08
Q15057	ACAP2_HUMAN	ACAP2	Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2	6.78767e+06
Q15061	WDR43_HUMAN	WDR43	WD repeat-containing protein 43	8.36701e+06
Q15063	POSTN_HUMAN	POSTN	Periostin	2.75179e+08
Q15070	OXA1L_HUMAN	OXA1L	Mitochondrial inner membrane protein OXA1L	6.15313e+06
Q15075	EEA1_HUMAN	EEA1	Early endosome antigen 1	7.89859e+07
Q15080	NCF4_HUMAN	NCF4	Neutrophil cytosol factor 4	6.73785e+06
Q15084	PDIA6_HUMAN	PDIA6	Protein disulfide-isomerase A6	1.64815e+08
Q15102	PA1B3_HUMAN	PAFAH1B3	Platelet-activating factor acetylhydrolase IB subunit alpha1	3.45533e+07
Q15121	PEA15_HUMAN	PEA15	Astrocytic phosphoprotein PEA-15	6.58756e+07
Q15124	PGM5_HUMAN	PGM5	Phosphoglucomutase-like protein 5	1.21591e+08
Q15126	PMVK_HUMAN	PMVK	Phosphomevalonate kinase	9.83423e+06
Q15149	PLEC_HUMAN	PLEC	Plectin	1.88703e+08
Q15154	PCM1_HUMAN	PCM1	Pericentriolar material 1 protein	1.03716e+07
Q15172	2A5A_HUMAN	PPP2R5A	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit alpha isoform	8.77995e+06
Q15181	IPYR_HUMAN	PPA1	Inorganic pyrophosphatase	2.36121e+08
Q15185	TEBP_HUMAN	PTGES3	Prostaglandin E synthase 3	1.08674e+08
Q15208	STK38_HUMAN	STK38	Serine/threonine-protein kinase 38	2.97479e+06
Q15233	NONO_HUMAN	NONO	Non-POU domain-containing octamer-binding protein	2.49513e+08
Q15257	PTPA_HUMAN	PTPA	Serine/threonine-protein phosphatase 2A activator	9.22301e+06
Q15276	RABE1_HUMAN	RABEP1	Rab GTPase-binding effector protein 1	1.06365e+07
Q15286	RAB35_HUMAN	RAB35	Ras-related protein Rab-35	1.88212e+07
Q15287	RNPS1_HUMAN	RNPS1	RNA-binding protein with serine-rich domain 1	9.94757e+07
Q15293	RCN1_HUMAN	RCN1	Reticulocalbin-1	8.67003e+07
Q15363	TMED2_HUMAN	TMED2	Transmembrane emp24 domain-containing protein 2	9.58881e+06
Q15365	PCBP1_HUMAN	PCBP1	Poly(rC)-binding protein 1	1.66875e+08
Q15366	PCBP2_HUMAN	PCBP2	Poly(rC)-binding protein 2	4.15884e+07
Q15369	ELOC_HUMAN	ELOC	Elongin-C	2.77709e+07
Q15370	ELOB_HUMAN	ELOB	Elongin-B	4.24043e+07
Q15382	RHEB_HUMAN	RHEB	GTP-binding protein Rheb	1.17118e+07
Q15393	SF3B3_HUMAN	SF3B3	Splicing factor 3B subunit 3	5.80266e+07
Q15397	PUM3_HUMAN	PUM3	Pumilio homolog 3	9.4006e+06
Q15404	RSU1_HUMAN	RSU1	Ras suppressor protein 1	1.78841e+08
Q15417	CNN3_HUMAN	CNN3	Calponin-3	2.10168e+08
Q15418	KS6A1_HUMAN	RPS6KA1	Ribosomal protein S6 kinase alpha-1	1.32138e+07
Q15424	SAFB1_HUMAN	SAFB	Scaffold attachment factor B1	4.59299e+07
Q15427	SF3B4_HUMAN	SF3B4	Splicing factor 3B subunit 4	3.05716e+07
Q15428	SF3A2_HUMAN	SF3A2	Splicing factor 3A subunit 2	1.1987e+07
Q15434	RBMS2_HUMAN	RBMS2	RNA-binding motif, single-stranded-interacting protein 2	1.27578e+07
Q15435	PP1R7_HUMAN	PPP1R7	Protein phosphatase 1 regulatory subunit 7	3.52868e+07
Q15436	SC23A_HUMAN	SEC23A	Protein transport protein Sec23A	1.59797e+07
Q15437	SC23B_HUMAN	SEC23B	Protein transport protein Sec23B	1.39756e+07
Q15459	SF3A1_HUMAN	SF3A1	Splicing factor 3A subunit 1	4.95884e+07
Q15477	SKI2_HUMAN	SKIC2	Superkiller complex protein 2	8.94449e+07
Q15554	TERF2_HUMAN	TERF2	Telomeric repeat-binding factor 2	4.02134e+06
Q15555	MARE2_HUMAN	MAPRE2	Microtubule-associated protein RP/EB family member 2	3.74069e+07
Q15582	BGH3_HUMAN	TGFBI	Transforming growth factor-beta-induced protein ig-h3	3.65667e+08
Q15599	NHRF2_HUMAN	NHERF2	Na(+)/H(+) exchange regulatory cofactor NHE-RF2	2.41526e+07
Q15631	TSN_HUMAN	TSN	Translin	9.46082e+06
Q15637	SF01_HUMAN	SF1	Splicing factor 1	5.94089e+07
Q15642	CIP4_HUMAN	TRIP10	Cdc42-interacting protein 4	1.87311e+07
Q15643	TRIPB_HUMAN	TRIP11	Thyroid receptor-interacting protein 11	5.73996e+06
Q15651	HMGN3_HUMAN	HMGN3	High mobility group nucleosome-binding domain-containing protein 3	3.72082e+06
Q15654	TRIP6_HUMAN	TRIP6	Thyroid receptor-interacting protein 6	9.31333e+06
Q15691	MARE1_HUMAN	MAPRE1	Microtubule-associated protein RP/EB family member 1	7.46849e+07
Q15717	ELAV1_HUMAN	ELAVL1	ELAV-like protein 1	1.34048e+08
Q15738	NSDHL_HUMAN	NSDHL	Sterol-4-alpha-carboxylate 3-dehydrogenase, decarboxylating	9.23169e+06
Q15746	MYLK_HUMAN	MYLK	Myosin light chain kinase, smooth muscle	2.55557e+08
Q15750	TAB1_HUMAN	TAB1	TGF-beta-activated kinase 1 and MAP3K7-binding protein 1	3.67424e+06
Q15758	AAAT_HUMAN	SLC1A5	Neutral amino acid transporter B(0)	4.53561e+07
Q15773	MLF2_HUMAN	MLF2	Myeloid leukemia factor 2	5.48903e+06
Q15785	TOM34_HUMAN	TOMM34	Mitochondrial import receptor subunit TOM34	6.09362e+06
Q15797;Q99717	SMAD1_HUMAN;SMAD5_HUMAN	SMAD1;SMAD5	Mothers against decapentaplegic homolog 1	3.5337e+06
Q15811	ITSN1_HUMAN	ITSN1	Intersectin-1	3.29083e+06
Q15814	TBCC_HUMAN	TBCC	Tubulin-specific chaperone C	9.08751e+06
Q15819	UB2V2_HUMAN	UBE2V2	Ubiquitin-conjugating enzyme E2 variant 2	1.39679e+07
Q15833	STXB2_HUMAN	STXBP2	Syntaxin-binding protein 2	1.29386e+07
Q15836	VAMP3_HUMAN	VAMP3	Vesicle-associated membrane protein 3	3.20085e+07
Q15843	NEDD8_HUMAN	NEDD8	NEDD8	4.35605e+07
Q15847	ADIRF_HUMAN	ADIRF	Adipogenesis regulatory factor	9.17806e+07
Q15907	RB11B_HUMAN	RAB11B	Ras-related protein Rab-11B	3.70099e+08
Q15942	ZYX_HUMAN	ZYX	Zyxin	1.49997e+08
Q16134	ETFD_HUMAN	ETFDH	Electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial	2.35803e+06
Q16181	SEPT7_HUMAN	SEPTIN7	Septin-7	8.51709e+07
Q16186	ADRM1_HUMAN	ADRM1	Proteasomal ubiquitin receptor ADRM1	3.20735e+07
Q16204	CCDC6_HUMAN	CCDC6	Coiled-coil domain-containing protein 6	3.93233e+07
Q16222	UAP1_HUMAN	UAP1	UDP-N-acetylhexosamine pyrophosphorylase	2.63272e+07
Q16270	IBP7_HUMAN	IGFBP7	Insulin-like growth factor-binding protein 7	4.09543e+07
Q16363	LAMA4_HUMAN	LAMA4	Laminin subunit alpha-4	1.15594e+08
Q16401	PSMD5_HUMAN	PSMD5	26S proteasome non-ATPase regulatory subunit 5	2.24758e+07
Q16512	PKN1_HUMAN	PKN1	Serine/threonine-protein kinase N1	3.54082e+06
Q16527	CSRP2_HUMAN	CSRP2	Cysteine and glycine-rich protein 2	2.26382e+08
Q16531	DDB1_HUMAN	DDB1	DNA damage-binding protein 1	2.40207e+07
Q16537	2A5E_HUMAN	PPP2R5E	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit epsilon isoform	7.1693e+06
Q16539	MK14_HUMAN	MAPK14	Mitogen-activated protein kinase 14	8.08456e+06
Q16540	RM23_HUMAN	MRPL23	Large ribosomal subunit protein uL23m	4.87674e+06
Q16543	CDC37_HUMAN	CDC37	Hsp90 co-chaperone Cdc37	7.66753e+07
Q16555	DPYL2_HUMAN	DPYSL2	Dihydropyrimidinase-related protein 2	6.80663e+08
Q16576	RBBP7_HUMAN	RBBP7	Histone-binding protein RBBP7	8.57222e+07
Q16625	OCLN_HUMAN	OCLN	Occludin	1.21344e+07
Q16629	SRSF7_HUMAN	SRSF7	Serine/arginine-rich splicing factor 7	5.77882e+07
Q16630	CPSF6_HUMAN	CPSF6	Cleavage and polyadenylation specificity factor subunit 6	6.17655e+07
Q16637	SMN_HUMAN	SMN1	Survival motor neuron protein	4.22407e+06
Q16643	DREB_HUMAN	DBN1	Drebrin	2.93921e+07
Q16647	PTGIS_HUMAN	PTGIS	Prostacyclin synthase	1.03898e+07
Q16658	FSCN1_HUMAN	FSCN1	Fascin	2.64471e+07
Q16666	IF16_HUMAN	IFI16	Gamma-interferon-inducible protein 16	3.4571e+08
Q16698	DECR_HUMAN	DECR1	2,4-dienoyl-CoA reductase [(3E)-enoyl-CoA-producing], mitochondrial	5.36026e+07
Q16718	NDUA5_HUMAN	NDUFA5	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5	1.42994e+07
Q16740	CLPP_HUMAN	CLPP	ATP-dependent Clp protease proteolytic subunit, mitochondrial	2.02398e+07
Q16762	THTR_HUMAN	TST	Thiosulfate sulfurtransferase	7.00101e+07
Q16774	KGUA_HUMAN	GUK1	Guanylate kinase	1.27205e+07
Q16775	GLO2_HUMAN	HAGH	Hydroxyacylglutathione hydrolase, mitochondrial	3.7108e+07
Q16777;Q6FI13	H2A2A_HUMAN;H2A2C_HUMAN	H2AC18;H2AC20	Histone H2A type 2-C	5.15503e+09
Q16787	LAMA3_HUMAN	LAMA3	Laminin subunit alpha-3	5.42785e+06
Q16790	CAH9_HUMAN	CA9	Carbonic anhydrase 9	9.67253e+06
Q16795	NDUA9_HUMAN	NDUFA9	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial	2.03404e+07
Q16822	PCKGM_HUMAN	PCK2	Phosphoenolpyruvate carboxykinase [GTP], mitochondrial	3.77757e+07
Q16836	HCDH_HUMAN	HADH	Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial	4.18813e+07
Q16851	UGPA_HUMAN	UGP2	UTP--glucose-1-phosphate uridylyltransferase	2.76767e+07
Q16853	AOC3_HUMAN	AOC3	Membrane primary amine oxidase	8.65795e+07
Q16864	VATF_HUMAN	ATP6V1F	V-type proton ATPase subunit F	3.77007e+07
Q16881	TRXR1_HUMAN	TXNRD1	Thioredoxin reductase 1, cytoplasmic	3.86925e+07
Q16890	TPD53_HUMAN	TPD52L1	Tumor protein D53	6.0948e+06
Q16891	MIC60_HUMAN	IMMT	MICOS complex subunit MIC60	8.66533e+07
Q1KMD3	HNRL2_HUMAN	HNRNPUL2	Heterogeneous nuclear ribonucleoprotein U-like protein 2	1.07894e+08
Q27J81	INF2_HUMAN	INF2	Inverted formin-2	8.32922e+06
Q29RF7	PDS5A_HUMAN	PDS5A	Sister chromatid cohesion protein PDS5 homolog A	8.28339e+06
Q2M2I8	AAK1_HUMAN	AAK1	AP2-associated protein kinase 1	2.43262e+06
Q2M389	WASC4_HUMAN	WASHC4	WASH complex subunit 4	2.8538e+06
Q2NL82	TSR1_HUMAN	TSR1	Pre-rRNA-processing protein TSR1 homolog	5.04609e+06
Q2PPJ7	RGPA2_HUMAN	RALGAPA2	Ral GTPase-activating protein subunit alpha-2	768680
Q2TAA2	IAH1_HUMAN	IAH1	Isoamyl acetate-hydrolyzing esterase 1 homolog	3.32078e+07
Q2TAL8	QRIC1_HUMAN	QRICH1	Transcriptional regulator QRICH1	1.06012e+07
Q2TAY7	SMU1_HUMAN	SMU1	WD40 repeat-containing protein SMU1	1.40702e+07
Q32MK0;Q86YV6;Q9H1R3	MYLK2_HUMAN;MYLK3_HUMAN;MYLK4_HUMAN	MYLK2;MYLK3;MYLK4	Myosin light chain kinase 3	1.79122e+08
Q32MZ4	LRRF1_HUMAN	LRRFIP1	Leucine-rich repeat flightless-interacting protein 1	3.1396e+07
Q32P28	P3H1_HUMAN	P3H1	Prolyl 3-hydroxylase 1	1.31338e+07
Q32P41	TRM5_HUMAN	TRMT5	tRNA (guanine(37)-N1)-methyltransferase	1.95455e+07
Q32P44	EMAL3_HUMAN	EML3	Echinoderm microtubule-associated protein-like 3	4.92927e+06
Q3KQU3	MA7D1_HUMAN	MAP7D1	MAP7 domain-containing protein 1	4.46227e+06
Q3KQV9	UAP1L_HUMAN	UAP1L1	UDP-N-acetylhexosamine pyrophosphorylase-like protein 1	7.1347e+06
Q3LXA3	TKFC_HUMAN	TKFC	Triokinase/FMN cyclase	2.33579e+07
Q3MHD2	LSM12_HUMAN	LSM12	Protein LSM12	6.62448e+06
Q3YEC7	RABL6_HUMAN	RABL6	Rab-like protein 6	1.0368e+07
Q3ZCQ8	TIM50_HUMAN	TIMM50	Mitochondrial import inner membrane translocase subunit TIM50	1.62436e+07
Q460N5	PAR14_HUMAN	PARP14	Protein mono-ADP-ribosyltransferase PARP14	3.23513e+07
Q49A26	GLYR1_HUMAN	GLYR1	Cytokine-like nuclear factor N-PAC	1.13331e+07
Q4G0J3	LARP7_HUMAN	LARP7	La-related protein 7	5.47453e+06
Q4G0N4	NAKD2_HUMAN	NADK2	NAD kinase 2, mitochondrial	1.7043e+07
Q4G176	ACSF3_HUMAN	ACSF3	Malonate--CoA ligase ACSF3, mitochondrial	562603
Q4KMP7	TB10B_HUMAN	TBC1D10B	TBC1 domain family member 10B	3.41729e+06
Q4L180	FIL1L_HUMAN	FILIP1L	Filamin A-interacting protein 1-like	2.23703e+07
Q4U2R6	RM51_HUMAN	MRPL51	Large ribosomal subunit protein mL51	4.21142e+06
Q4V328	GRAP1_HUMAN	GRIPAP1	GRIP1-associated protein 1	6.24238e+06
Q4VC31	MIX23_HUMAN	MIX23	Protein MIX23	2.04147e+07
Q52LJ0	FA98B_HUMAN	FAM98B	Protein FAM98B	2.17137e+07
Q53EL6	PDCD4_HUMAN	PDCD4	Programmed cell death protein 4	3.42828e+07
Q53F19	NCBP3_HUMAN	NCBP3	Nuclear cap-binding protein subunit 3	1.72985e+07
Q53FA7	QORX_HUMAN	TP53I3	Quinone oxidoreductase PIG3	5.29137e+06
Q53GG5	PDLI3_HUMAN	PDLIM3	PDZ and LIM domain protein 3	2.32724e+08
Q53GL7	PAR10_HUMAN	PARP10	Protein mono-ADP-ribosyltransferase PARP10	2.52008e+06
Q53GQ0	DHB12_HUMAN	HSD17B12	Very-long-chain 3-oxoacyl-CoA reductase	4.03107e+07
Q53GS7	GLE1_HUMAN	GLE1	mRNA export factor GLE1	1.39167e+06
Q53GS9	UBP39_HUMAN	USP39	Ubiquitin carboxyl-terminal hydrolase 39	8.3488e+06
Q53H82	LACB2_HUMAN	LACTB2	Endoribonuclease LACTB2	4.44296e+06
Q53H96	P5CR3_HUMAN	PYCR3	Pyrroline-5-carboxylate reductase 3	8.03841e+06
Q53HV7	SMUG1_HUMAN	SMUG1	Single-strand selective monofunctional uracil DNA glycosylase	1.60504e+06
Q53RY4	KCP3_HUMAN	KRTCAP3	Keratinocyte-associated protein 3	3.34419e+06
Q53S33	BOLA3_HUMAN	BOLA3	BolA-like protein 3	3.144e+06
Q53SF7	COBL1_HUMAN	COBLL1	Cordon-bleu protein-like 1	3.34474e+06
Q53T59	H1BP3_HUMAN	HS1BP3	HCLS1-binding protein 3	1.04821e+07
Q53TN4	CYBR1_HUMAN	CYBRD1	Plasma membrane ascorbate-dependent reductase CYBRD1	3.71868e+07
Q562R1	ACTBL_HUMAN	ACTBL2	Beta-actin-like protein 2	6.02976e+09
Q567U6	CCD93_HUMAN	CCDC93	Coiled-coil domain-containing protein 93	2.13319e+07
Q58FF6	H90B4_HUMAN	HSP90AB4P	Putative heat shock protein HSP 90-beta 4	4.93945e+08
Q58FF8	H90B2_HUMAN	HSP90AB2P	Putative heat shock protein HSP 90-beta 2	6.35206e+07
Q5BJD5	TM41B_HUMAN	TMEM41B	Transmembrane protein 41B	5.36715e+06
Q5BKZ1	ZN326_HUMAN	ZNF326	DBIRD complex subunit ZNF326	9.33305e+06
Q5EBL4	RIPL1_HUMAN	RILPL1	RILP-like protein 1	3.77863e+06
Q5EG05	CAR16_HUMAN	CARD16	Caspase recruitment domain-containing protein 16	1.29442e+07
Q5F1R6	DJC21_HUMAN	DNAJC21	DnaJ homolog subfamily C member 21	1.32343e+07
Q5GLZ8	HERC4_HUMAN	HERC4	Probable E3 ubiquitin-protein ligase HERC4	1.04813e+06
Q5H9L2;Q6IPX3;Q969E4	TCAL3_HUMAN;TCAL5_HUMAN;TCAL6_HUMAN	TCEAL3;TCEAL5;TCEAL6	Transcription elongation factor A protein-like 5	1.13606e+06
Q5H9R7	PP6R3_HUMAN	PPP6R3	Serine/threonine-protein phosphatase 6 regulatory subunit 3	5.44034e+06
Q5HYI8	RABL3_HUMAN	RABL3	Rab-like protein 3	4.72185e+06
